mess_name,meal_type,avg_demand,avg_waste_rate,avg_occupancy,cluster
Academic Block Mess,Breakfast,304.2006578947368,0.1737748570420034,81.60786184210527,1
Academic Block Mess,Dinner,506.4292763157895,0.17419037604175647,81.60786184210527,1
Academic Block Mess,Lunch,595.6809210526316,0.1755403704913355,81.60786184210527,1
Central Mess,Breakfast,420.28782894736844,0.17508701873104227,81.28784539473685,3
Central Mess,Dinner,695.2746710526316,0.17653837451324322,81.28784539473685,0
Central Mess,Lunch,818.84375,0.17790331965976103,81.28784539473685,0
Hostel A Mess,Breakfast,325.76644736842104,0.17351327847921802,81.9497697368421,1
Hostel A Mess,Dinner,536.4967105263158,0.17603713180189326,81.9497697368421,2
Hostel A Mess,Lunch,633.9358552631579,0.1775456607832341,81.9497697368421,2
Hostel B Mess,Breakfast,400.6907894736842,0.1762595595221669,81.20024671052632,3
Hostel B Mess,Dinner,663.358552631579,0.1745783732211529,81.20024671052632,0
Hostel B Mess,Lunch,778.8207236842105,0.17554815990091588,81.20024671052632,0
North Mess,Breakfast,378.36513157894734,0.17628386521128905,81.12018092105264,3
North Mess,Dinner,631.875,0.17643338314162368,81.12018092105264,0
North Mess,Lunch,743.4407894736842,0.17597334771981102,81.12018092105264,0
South Mess,Breakfast,342.74013157894734,0.17727491624902456,81.76217105263159,2
South Mess,Dinner,572.9243421052631,0.17339432374699817,81.76217105263159,1
South Mess,Lunch,673.1463815789474,0.17448203078888624,81.76217105263159,1
